"Province","District","Ranked Choices","Votes"
"Newfoundland and Labrador","Avalon","Green > Conservative > Other > NDP > Liberal","1
"Newfoundland and Labrador","Avalon","Green > NDP > Liberal > Conservative > Other","80
"Newfoundland and Labrador","Avalon","Green > NDP > Liberal > Other > Conservative","8
"Newfoundland and Labrador","Avalon","Green > NDP > Conservative > Liberal > Other","24
"Newfoundland and Labrador","Avalon","Green > NDP > Conservative > Other > Liberal","4
"Newfoundland and Labrador","Avalon","Green > NDP > Other > Liberal > Conservative","1
"Newfoundland and Labrador","Avalon","Green > NDP > Other > Conservative > Liberal","3
"Newfoundland and Labrador","Avalon","Green > Other > Liberal > NDP > Conservative","2
"Newfoundland and Labrador","Avalon","Green > Other > Conservative > Liberal > NDP","1
"Newfoundland and Labrador","Avalon","Green > Other > Conservative > NDP > Liberal","2
"Newfoundland and Labrador","Avalon","Green > Other > NDP > Liberal > Conservative","3
"Newfoundland and Labrador","Avalon","Green > Other > NDP > Conservative > Liberal","1
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Liberal > Conservative > NDP > Green","1904
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Liberal > Conservative > Green > NDP","750
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Liberal > NDP > Conservative > Green","4522
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Liberal > NDP > Green > Conservative","8050
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Liberal > Green > Conservative > NDP","603
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Liberal > Green > NDP > Conservative","2148
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Conservative > Liberal > NDP > Green","2322
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Conservative > Liberal > Green > NDP","508
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Conservative > NDP > Liberal > Green","2650
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Conservative > NDP > Green > Liberal","1486
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Conservative > Green > Liberal > NDP","519
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Conservative > Green > NDP > Liberal","1110
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","NDP > Liberal > Conservative > Green","1127
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","NDP > Liberal > Green > Conservative","1169
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","NDP > Conservative > Liberal > Green","459
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","NDP > Conservative > Green > Liberal","264
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","NDP > Green > Liberal > Conservative","804
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","NDP > Green > Conservative > Liberal","483
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Green > Liberal > Conservative > NDP","13
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Green > Liberal > NDP > Conservative","62
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Green > Conservative > Liberal > NDP","18
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Green > Conservative > NDP > Liberal","27
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Green > NDP > Liberal > Conservative","122
"Newfoundland and Labrador","Bonavista--Gander--Grand Falls--Windsor","Green > NDP > Conservative > Liberal","38
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Conservative > NDP > Other > Green","118
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Conservative > NDP > Green > Other","1535
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Conservative > Other > NDP > Green","111
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Conservative > Other > Green > NDP","77
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Conservative > Green > NDP > Other","606
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Conservative > Green > Other > NDP","45
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > NDP > Conservative > Other > Green","907
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > NDP > Conservative > Green > Other","3140
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > NDP > Other > Conservative > Green","298
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > NDP > Other > Green > Conservative","256
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > NDP > Green > Conservative > Other","5707
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > NDP > Green > Other > Conservative","1497
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Other > Conservative > NDP > Green","55
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Other > Conservative > Green > NDP","21
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Other > NDP > Conservative > Green","35
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Other > NDP > Green > Conservative","61
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Other > Green > Conservative > NDP","14
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Other > Green > NDP > Conservative","52
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Green > Conservative > NDP > Other","481
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Green > Conservative > Other > NDP","55
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Green > NDP > Conservative > Other","1678
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Green > NDP > Other > Conservative","230
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Green > Other > Conservative > NDP","62
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Liberal > Green > Other > NDP > Conservative","78
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Liberal > NDP > Other > Green","136
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Liberal > NDP > Green > Other","1769
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Liberal > Other > NDP > Green","23
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Liberal > Other > Green > NDP","15
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Liberal > Green > NDP > Other","388
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Liberal > Green > Other > NDP","29
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > NDP > Liberal > Other > Green","181
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > NDP > Liberal > Green > Other","1970
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > NDP > Other > Liberal > Green","33
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > NDP > Other > Green > Liberal","60
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > NDP > Green > Liberal > Other","1041
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > NDP > Green > Other > Liberal","164
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Other > Liberal > NDP > Green","59
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Other > Liberal > Green > NDP","13
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Other > NDP > Liberal > Green","122
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Other > NDP > Green > Liberal","68
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Other > Green > Liberal > NDP","41
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Other > Green > NDP > Liberal","89
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Green > Liberal > NDP > Other","404
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Green > Liberal > Other > NDP","8
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Green > NDP > Liberal > Other","845
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Green > NDP > Other > Liberal","36
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Green > Other > Liberal > NDP","18
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Conservative > Green > Other > NDP > Liberal","47
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Liberal > Conservative > Other > Green","260
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Liberal > Conservative > Green > Other","901
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Liberal > Other > Conservative > Green","60
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Liberal > Other > Green > Conservative","51
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Liberal > Green > Conservative > Other","954
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Liberal > Green > Other > Conservative","250
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Conservative > Liberal > Other > Green","38
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Conservative > Liberal > Green > Other","410
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Conservative > Other > Liberal > Green","26
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Conservative > Other > Green > Liberal","48
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Conservative > Green > Liberal > Other","223
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Conservative > Green > Other > Liberal","35
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Other > Liberal > Conservative > Green","11
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Other > Liberal > Green > Conservative","11
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Other > Conservative > Liberal > Green","29
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Other > Conservative > Green > Liberal","17
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Other > Green > Liberal > Conservative","24
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Other > Green > Conservative > Liberal","15
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Green > Liberal > Conservative > Other","720
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Green > Liberal > Other > Conservative","69
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Green > Conservative > Liberal > Other","406
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Green > Conservative > Other > Liberal","68
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Green > Other > Liberal > Conservative","40
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","NDP > Green > Other > Conservative > Liberal","84
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Liberal > Conservative > NDP > Green","4
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Liberal > Conservative > Green > NDP","2
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Liberal > NDP > Conservative > Green","11
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Liberal > NDP > Green > Conservative","20
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Liberal > Green > Conservative > NDP","2
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Liberal > Green > NDP > Conservative","5
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Conservative > Liberal > NDP > Green","25
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Conservative > Liberal > Green > NDP","6
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Conservative > NDP > Liberal > Green","29
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Conservative > NDP > Green > Liberal","16
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Conservative > Green > Liberal > NDP","6
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Conservative > Green > NDP > Liberal","12
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > NDP > Liberal > Conservative > Green","30
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > NDP > Liberal > Green > Conservative","32
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > NDP > Conservative > Liberal > Green","12
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > NDP > Conservative > Green > Liberal","7
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > NDP > Green > Liberal > Conservative","22
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > NDP > Green > Conservative > Liberal","13
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Green > Liberal > Conservative > NDP","4
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Green > Liberal > NDP > Conservative","17
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Green > Conservative > Liberal > NDP","5
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Green > Conservative > NDP > Liberal","8
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Green > NDP > Liberal > Conservative","35
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Other > Green > NDP > Conservative > Liberal","11
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Liberal > Conservative > NDP > Other","10
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Liberal > Conservative > Other > NDP","1
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Liberal > NDP > Conservative > Other","47
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Liberal > NDP > Other > Conservative","6
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Liberal > Other > NDP > Conservative","1
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Conservative > Liberal > NDP > Other","15
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Conservative > NDP > Liberal > Other","21
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Conservative > NDP > Other > Liberal","1
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Conservative > Other > Liberal > NDP","1
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Conservative > Other > NDP > Liberal","1
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > NDP > Liberal > Conservative > Other","93
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > NDP > Liberal > Other > Conservative","9
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > NDP > Conservative > Liberal > Other","27
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > NDP > Conservative > Other > Liberal","5
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > NDP > Other > Liberal > Conservative","1
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > NDP > Other > Conservative > Liberal","3
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Other > Liberal > NDP > Conservative","2
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Other > Conservative > Liberal > NDP","2
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Other > Conservative > NDP > Liberal","2
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Other > NDP > Liberal > Conservative","4
"Newfoundland and Labrador","Humber--St. Barbe--Baie Verte","Green > Other > NDP > Conservative > Liberal","1
"Newfoundland and Labrador","Labrador","Conservative > Liberal > NDP > Green","1149
"Newfoundland and Labrador","Labrador","Conservative > Liberal > Green > NDP","252
"Newfoundland and Labrador","Labrador","Conservative > NDP > Liberal > Green","1312
"Newfoundland and Labrador","Labrador","Conservative > NDP > Green > Liberal","736
"Newfoundland and Labrador","Labrador","Conservative > Green > Liberal > NDP","257
"Newfoundland and Labrador","Labrador","Conservative > Green > NDP > Liberal","550
"Newfoundland and Labrador","Labrador","Liberal > Conservative > NDP > Green","443
"Newfoundland and Labrador","Labrador","Liberal > Conservative > Green > NDP","174
"Newfoundland and Labrador","Labrador","Liberal > NDP > Conservative > Green","1051
"Newfoundland and Labrador","Labrador","Liberal > NDP > Green > Conservative","1870
"Newfoundland and Labrador","Labrador","Liberal > Green > Conservative > NDP","140
"Newfoundland and Labrador","Labrador","Liberal > Green > NDP > Conservative","499
"Newfoundland and Labrador","Labrador","NDP > Conservative > Liberal > Green","226
"Newfoundland and Labrador","Labrador","NDP > Conservative > Green > Liberal","130
"Newfoundland and Labrador","Labrador","NDP > Liberal > Conservative > Green","555
"Newfoundland and Labrador","Labrador","NDP > Liberal > Green > Conservative","575
"Newfoundland and Labrador","Labrador","NDP > Green > Conservative > Liberal","238
"Newfoundland and Labrador","Labrador","NDP > Green > Liberal > Conservative","396
"Newfoundland and Labrador","Labrador","Green > Conservative > Liberal > NDP","9
"Newfoundland and Labrador","Labrador","Green > Conservative > NDP > Liberal","13
"Newfoundland and Labrador","Labrador","Green > Liberal > Conservative > NDP","6
"Newfoundland and Labrador","Labrador","Green > Liberal > NDP > Conservative","31
"Newfoundland and Labrador","Labrador","Green > NDP > Conservative > Liberal","19
"Newfoundland and Labrador","Labrador","Green > NDP > Liberal > Conservative","61
"Newfoundland and Labrador","Random--Burin--St. George's","Liberal > Conservative > NDP > Green","1368
"Newfoundland and Labrador","Random--Burin--St. George's","Liberal > Conservative > Green > NDP","539
"Newfoundland and Labrador","Random--Burin--St. George's","Liberal > NDP > Conservative > Green","3248
"Newfoundland and Labrador","Random--Burin--St. George's","Liberal > NDP > Green > Conservative","5783
"Newfoundland and Labrador","Random--Burin--St. George's","Liberal > Green > Conservative > NDP","433
"Newfoundland and Labrador","Random--Burin--St. George's","Liberal > Green > NDP > Conservative","1543
"Newfoundland and Labrador","Random--Burin--St. George's","Conservative > Liberal > NDP > Green","2248
"Newfoundland and Labrador","Random--Burin--St. George's","Conservative > Liberal > Green > NDP","492
"Newfoundland and Labrador","Random--Burin--St. George's","Conservative > NDP > Liberal > Green","2567
"Newfoundland and Labrador","Random--Burin--St. George's","Conservative > NDP > Green > Liberal","1438
"Newfoundland and Labrador","Random--Burin--St. George's","Conservative > Green > Liberal > NDP","502
"Newfoundland and Labrador","Random--Burin--St. George's","Conservative > Green > NDP > Liberal","1075
"Newfoundland and Labrador","Random--Burin--St. George's","NDP > Liberal > Conservative > Green","1169
"Newfoundland and Labrador","Random--Burin--St. George's","NDP > Liberal > Green > Conservative","1212
"Newfoundland and Labrador","Random--Burin--St. George's","NDP > Conservative > Liberal > Green","476
"Newfoundland and Labrador","Random--Burin--St. George's","NDP > Conservative > Green > Liberal","274
"Newfoundland and Labrador","Random--Burin--St. George's","NDP > Green > Liberal > Conservative","833
"Newfoundland and Labrador","Random--Burin--St. George's","NDP > Green > Conservative > Liberal","501
"Newfoundland and Labrador","Random--Burin--St. George's","Green > Liberal > Conservative > NDP","14
